id,公司中文简称,行业名称,信用得分,信用等级,公司中文全称,公司英文全称,上市公司经营性质编码,公司成立日期,成立年限,法人代表,注册资本,注册资本货币编码,公司办公地址,主营业务,公司经营范围,existing,recommended,invite
836608,帝通新材,制造业,651,较高,广东帝通新材料股份有限公司,"Guangdong Ditong New Material Co., Ltd.",私营企业,14/5/2010,9,麦鹤远,32830000,CNY,广东省佛山市顺德区杏坛镇麦村村委会第一工业区良均路22号,多功能母粒及深加工后的电子载带片材等改性塑料制品的研发、生产和销售。,"销售、制造:精密复合包装材料、聚合物材料、高分子材料、高分子添加材料、高性能膜、高性能材料、复合塑料、改性塑料、多功能母料、记忆母料(不含法律、行政法规和国务院决定禁止或应经许可的项目)。(依法须经批准的项目,经相关部门批准后方可开展经营活动。)",,,
836612,瑞博龙,制造业,723,高,山东瑞博龙化工科技股份有限公司,"ShanDong RBL Chemicals Co.,ltd",私营企业,8/9/2006,13,郑万强,40800000,CNY,山东省德州市临邑经济开发区,丙烯酰胺系列衍生物和丙烯酸酯系列衍生物的研发、中试、生产及销售。,"甲醇(875吨/年)生产(有效期限以许可证为准);化工产品(不含危险、监控、食用及易制毒化学品)生产、销售;五金交电、油井水泥添加剂销售;石油化工技术开发、咨询、服务、转让(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",,,
836614,奥其斯,制造业,524,低,奥其斯科技股份有限公司,"Outrace Tech Co.,Ltd",私营企业,19/6/2012,7,罗嗣国,420600000,CNY,江西省宜春市高安市工业园,半导体照明技术研发与应用、LED照明产品全产业链生产制造、智能家居照明研发、半导体照明通信系统研发(LIFI可见光无线通信)等。,"稳压电源、UPS电源、节能电源、灯具、电子配件、灯具配件、风力发电机组、风能太阳能发电系统、沼泽发电机组、水电发电机组、高低压配电开关柜、防雷器、铝铁电池、电池配件生产、销售、安装,节能服务,自营进出口业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
836619,显鸿科技,制造业,691,较高,内蒙古显鸿科技股份有限公司,"INNER MONGOLIA XIANHONG SCIENCE CO.,LTD.",中外合资,4/6/2012,7,吴葵生,103890000,CNY,内蒙古自治区呼和浩特市和林格尔县盛乐经济园区科技大道1号2号厂房,"公司是专业化商品信息安全解决方案供应商,主要从事抗擦油墨的研发、生产、销售和喷码机及其配件的经销业务。",纳米功能油墨的研发、生产、销售、推广及应用;喷码机及其配品、配件的生产、安装及销售;喷码机相关软件开发、应用、售后服务及技术咨询;从事货物和技术进出口业务;计算机网络工程、系统集成、计算机配件及信息系统研发、生产、销售及技术服务;数据收集、分析、处理、应用及维护。,,,
836621,奇电电气,制造业,704,高,上海奇电电气科技股份有限公司,"Shanghai Qirod Electric Science and Technology Co., Ltd.",私营企业,6/4/2012,7,刘国鹰,15682000,CNY,上海市青浦区崧春路339号8幢2楼厂房,变频器和软起动器的研发、生产和销售。,"电子产品及设备、电气设备、机电设备、仪器仪表的研发、生产、销售,从事电气机电科技、计算机软件科技领域内的技术开发、技术转让、技术服务、技术咨询;从事货物及技术的进出口业务。【依法须经批准的项目,经相关部门批准后方可开展经营活动】",,,
836625,宝艺股份,制造业,750,高,宝艺新材料股份有限公司,"BOYI NEW MATERIAL CO.,LTD",私营企业,16/10/2012,7,杨健,75000000,CNY,江苏省无锡市宜兴环科园茶泉路西侧,中高档瓦楞纸板纸箱、礼品包装的研发与设计、生产、销售。,"新型包装材料及制品、PVC塑料新材料、PE塑料制品、高分子合成材料的研发;纸质包装材料及制品、PVC塑料新材料、PE塑料制品的制造、销售;工艺品的销售;产品包装的创意设计、技术服务;包装服务;自有房屋租赁;自营和代理各类商品及技术的进出口业务(国家限定企业经营或禁止进出口的商品和技术除外);道路普通货物运输;包装装潢印刷品印刷、装订。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
836628,云端传媒,文化、体育和娱乐业,660,较高,北京云端文化传媒股份有限公司,"Beijing Cloud Culture Media Co., Ltd.",私营企业,23/8/2011,8,陈苒凌,20000000,CNY,北京市朝阳区望京园401号楼14层1710,网络剧、电视剧及电影的制作、发行及相关衍生产品的运营;北京云端文化传媒股份有限公司公开转让说明书宣传片、栏目、广告的制作、营销策划;艺人经纪等。,组织文化艺术交流活动(不含演出);会议服务;设计、制作、代理、发布广告;影视策划;企业形象策划;市场调查;技术推广服务;投资咨询;投资管理;企业管理咨询;销售工艺品、电子产品、机械设备、建筑设备、五金交电。,,,
836640,华邦封条,制造业,651,较高,温州华邦安全封条股份有限公司,"Wenzhou Harbor Security Seals Co.,Ltd.",私营企业,23/9/2008,11,虞振勇,20000000,CNY,浙江省温州市永嘉县乌牛街道东蒙工业园区,安全封条锁的研发、生产与销售。,"安全封条锁、施封锁、智能铅封、电子标签的研发、生产、销售;物联网应用技术的开发;货物进出口、技术进出口。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
836643,汉唐韵,文化、体育和娱乐业,636,较高,深圳市汉唐韵文化投资发展股份有限公司,"Shenzhen Hantangyun Culture Investment Co., Ltd.",私营企业,25/4/2012,7,张冬梅,25000000,CNY,深圳市南山区兴华路6号华建工业大厦(又名:南海意库)1号楼405房,影视剧投资、制作及运营;动漫IP投资及运营;活动策划。,"影视文化产业项目的策划、开发与投资;大型影视文化活动的策划,文化艺术交流活动策划,舞台艺术造型策划,投资兴办实业(具体项目另行申报);商标代理与知识产权咨询(不含专利);广告设计制作代理及发布,销售玩具、工艺礼品、电子产品;企业形象策划,企业市场营销策划,企业管理咨询;会务服务、展览展示策划、礼仪服务、摄影服务。许可经营项目:电视、电影制作。",,,
836645,三瑞农科,农、林、牧、渔业,778,高,三瑞农业科技股份有限公司,"Sunrise Agritec Co., Ltd.",私营企业,28/6/2010,9,张永平,104570000,CNY,内蒙古自治区巴彦淖尔市五原县工业园区,向日葵杂交种子的研发、生产、销售及技术服务。,"主要农作物杂交种子及亲本种子、常规种原种及种子批发、零售,向日葵种子生产、销售,炒货食品及坚果制品(烘炒类)生产、销售,自理商品的进出口业务;农副产品购销,农业技术开发,技术推广服务,种植业(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",,,
